"Package";"Item";"Title"
"datasets";"AirPassengers";"Monthly Airline Passenger Numbers 1949-1960"
"datasets";"BJsales";"Sales Data with Leading Indicator"
"datasets";"BJsales.lead (BJsales)";"Sales Data with Leading Indicator"
"datasets";"BOD";"Biochemical Oxygen Demand"
"datasets";"CO2";"Carbon Dioxide Uptake in Grass Plants"
"datasets";"ChickWeight";"Weight versus age of chicks on different diets"
"datasets";"DNase";"Elisa assay of DNase"
"datasets";"EuStockMarkets";"Daily Closing Prices of Major European Stock Indices, 1991-1998"
"datasets";"Formaldehyde";"Determination of Formaldehyde"
"datasets";"HairEyeColor";"Hair and Eye Color of Statistics Students"
"datasets";"Harman23.cor";"Harman Example 2.3"
"datasets";"Harman74.cor";"Harman Example 7.4"
"datasets";"Indometh";"Pharmacokinetics of Indomethacin"
"datasets";"InsectSprays";"Effectiveness of Insect Sprays"
"datasets";"JohnsonJohnson";"Quarterly Earnings per Johnson & Johnson Share"
"datasets";"LakeHuron";"Level of Lake Huron 1875-1972"
"datasets";"LifeCycleSavings";"Intercountry Life-Cycle Savings Data"
"datasets";"Loblolly";"Growth of Loblolly pine trees"
"datasets";"Nile";"Flow of the River Nile"
"datasets";"Orange";"Growth of Orange Trees"
"datasets";"OrchardSprays";"Potency of Orchard Sprays"
"datasets";"PlantGrowth";"Results from an Experiment on Plant Growth"
"datasets";"Puromycin";"Reaction Velocity of an Enzymatic Reaction"
"datasets";"Seatbelts";"Road Casualties in Great Britain 1969-84"
"datasets";"Theoph";"Pharmacokinetics of Theophylline"
"datasets";"Titanic";"Survival of passengers on the Titanic"
"datasets";"ToothGrowth";"The Effect of Vitamin C on Tooth Growth in Guinea Pigs"
"datasets";"UCBAdmissions";"Student Admissions at UC Berkeley"
"datasets";"UKDriverDeaths";"Road Casualties in Great Britain 1969-84"
"datasets";"UKgas";"UK Quarterly Gas Consumption"
"datasets";"USAccDeaths";"Accidental Deaths in the US 1973-1978"
"datasets";"USArrests";"Violent Crime Rates by US State"
